Barrio;Anio;Trimestre;Valor;Ambientes
Belgrano;2021;3;29378.14;1
Caballito;2021;3;27248.93;1
Flores;2021;3;25899.61;1
Núñez;2021;3;31242.6;1
Palermo;2021;3;29495.17;1
Recoleta;2021;3;27079.97;1
San Nicolás;2021;3;22827.09;1
Villa Crespo;2021;3;27390.84;1
Villa Urquiza;2021;3;27437.13;1
Almagro;2021;4;30142.86;1
Balvanera;2021;4;26175.93;1
Belgrano;2021;4;32223.95;1
Caballito;2021;4;30187.5;1
Flores;2021;4;29208.12;1
Núñez;2021;4;34009.5;1
Palermo;2021;4;31548.53;1
Recoleta;2021;4;29663.71;1
San Nicolás;2021;4;24595.48;1
Villa Crespo;2021;4;30365.48;1
Villa Urquiza;2021;4;30492.41;1
Almagro;2022;1;35778.79;1
Balvanera;2022;1;30887.68;1
Belgrano;2022;1;39416.57;1
Caballito;2022;1;34282.77;1
Flores;2022;1;31208.16;1
Núñez;2022;1;;1
Palermo;2022;1;36313.67;1
Recoleta;2022;1;35151.14;1
San Nicolás;2022;1;30490.44;1
Villa Crespo;2022;1;;1
Villa Urquiza;2022;1;34954.26;1
Almagro;2022;2;39318.18;1
Balvanera;2022;2;37027.03;1
Belgrano;2022;2;49420.53;1
Caballito;2022;2;41984.44;1
Flores;2022;2;;1
Núñez;2022;2;;1
Palermo;2022;2;46466.17;1
Recoleta;2022;2;42147.24;1
San Nicolás;2022;2;;1
Villa Crespo;2022;2;;1
Villa Urquiza;2022;2;41144.76;1
Almagro;2022;3;48198.1;1
Balvanera;2022;3;;1
Belgrano;2022;3;;1
Caballito;2022;3;48759.79;1
Flores;2022;3;;1
Núñez;2022;3;;1
Palermo;2022;3;54407.82;1
Recoleta;2022;3;52419.95;1
San Nicolás;2022;3;;1
Villa Crespo;2022;3;52804.76;1
Villa Urquiza;2022;3;48408.14;1
Almagro;2022;4;;1
Balvanera;2022;4;;1
Belgrano;2022;4;66390.37;1
Caballito;2022;4;59865.02;1
Flores;2022;4;;1
Núñez;2022;4;;1
Palermo;2022;4;66913.58;1
Recoleta;2022;4;65724.88;1
San Nicolás;2022;4;53348.62;1
Villa Crespo;2022;4;;1
Villa Urquiza;2022;4;59611.87;1
Almagro;2023;1;77541.53;1
Balvanera;2023;1;;1
Belgrano;2023;1;;1
Caballito;2023;1;73004.54;1
Flores;2023;1;;1
Núñez;2023;1;;1
Palermo;2023;1;86281.25;1
Recoleta;2023;1;82500;1
San Nicolás;2023;1;69676.17;1
Villa Crespo;2023;1;;1
Villa Urquiza;2023;1;83549.22;1
Almagro;2023;2;107810.66;1
Balvanera;2023;2;;1
Belgrano;2023;2;114087.14;1
Caballito;2023;2;105081.97;1
Flores;2023;2;;1
Núñez;2023;2;;1
Palermo;2023;2;118872.65;1
Recoleta;2023;2;97330.32;1
San Nicolás;2023;2;;1
Villa Crespo;2023;2;;1
Villa Urquiza;2023;2;110677.08;1
Almagro;2023;3;;1
Balvanera;2023;3;;1
Belgrano;2023;3;;1
Caballito;2023;3;166871.23;1
Flores;2023;3;;1
Núñez;2023;3;;1
Palermo;2023;3;194066.27;1
Recoleta;2023;3;166866.29;1
San Nicolás;2023;3;;1
Villa Crespo;2023;3;179140.13;1
Villa Urquiza;2023;3;164364.21;1
Almagro;2023;4;210263.16;1
Balvanera;2023;4;216853.93;1
Belgrano;2023;4;265233.64;1
Caballito;2023;4;232223.68;1
Flores;2023;4;203595.51;1
Núñez;2023;4;270109.69;1
Palermo;2023;4;289591.14;1
Recoleta;2023;4;248482.61;1
San Nicolás;2023;4;;1
Villa Crespo;2023;4;249069.77;1
Villa Urquiza;2023;4;246537.68;1
