Barrio;Año;Trimestre;Valor;Ambientes
Almagro;2018;1;15505.69;3
Balvanera;2018;1;13741.48;3
Belgrano;2018;1;17567.49;3
Caballito;2018;1;15993.4;3
Flores;2018;1;12526.38;3
Núñez;2018;1;17061.14;3
Palermo;2018;1;18091.69;3
Recoleta;2018;1;17051.02;3
Retiro;2018;1;15940.42;3
Villa Crespo;2018;1;16175.02;3
Villa Urquiza;2018;1;16754.11;3
Almagro;2018;2;16580.25;3
Balvanera;2018;2;14919.44;3
Belgrano;2018;2;18217.08;3
Caballito;2018;2;16198;3
Flores;2018;2;14048.18;3
Núñez;2018;2;18420.65;3
Palermo;2018;2;18611.08;3
Recoleta;2018;2;17664.51;3
Retiro;2018;2;17602.01;3
Villa Crespo;2018;2;16380.16;3
Villa Urquiza;2018;2;17974.26;3
Almagro;2018;3;16849;3
Balvanera;2018;3;15758;3
Belgrano;2018;3;19677;3
Caballito;2018;3;17010;3
Flores;2018;3;16031.74;3
Núñez;2018;3;20050;3
Palermo;2018;3;19749;3
Recoleta;2018;3;18370;3
Retiro;2018;3;;3
Villa Crespo;2018;3;17406.61;3
Villa Urquiza;2018;3;18438;3
Almagro;2018;4;18687;3
Balvanera;2018;4;16005.2;3
Belgrano;2018;4;20281;3
Caballito;2018;4;18202;3
Flores;2018;4;16332;3
Núñez;2018;4;20402;3
Palermo;2018;4;20883;3
Recoleta;2018;4;20024;3
Retiro;2018;4;20285;3
Villa Crespo;2018;4;18641;3
Villa Urquiza;2018;4;;3
Almagro;2019;1;19668.39;3
Balvanera;2019;1;16964.19;3
Belgrano;2019;1;22944.61;3
Caballito;2019;1;19339.48;3
Flores;2019;1;17153.33;3
Núñez;2019;1;20655.8;3
Palermo;2019;1;23463.12;3
Recoleta;2019;1;22270.05;3
Retiro;2019;1;20986.13;3
Villa Crespo;2019;1;19097.92;3
Villa Urquiza;2019;1;21967.61;3
Almagro;2019;2;20652.58;3
Balvanera;2019;2;19741.93;3
Belgrano;2019;2;23119.52;3
Caballito;2019;2;20634.52;3
Flores;2019;2;18324.92;3
Núñez;2019;2;23743.73;3
Palermo;2019;2;25280.54;3
Recoleta;2019;2;23004.97;3
Retiro;2019;2;23130.48;3
Villa Crespo;2019;2;20084.29;3
Villa Urquiza;2019;2;22880.03;3
Almagro;2019;3;23297.27;3
Balvanera;2019;3;19235.63;3
Belgrano;2019;3;26050.59;3
Caballito;2019;3;22072.82;3
Flores;2019;3;19575.28;3
Núñez;2019;3;26534.22;3
Palermo;2019;3;26636.25;3
Recoleta;2019;3;24985.16;3
Retiro;2019;3;23601.27;3
Villa Crespo;2019;3;22470.02;3
Villa Urquiza;2019;3;24829.94;3
Almagro;2019;4;23713.58;3
Balvanera;2019;4;20517.01;3
Belgrano;2019;4;27327.78;3
Caballito;2019;4;23412.6;3
Flores;2019;4;20941.41;3
Núñez;2019;4;27797.46;3
Palermo;2019;4;28129.64;3
Recoleta;2019;4;25753.74;3
Retiro;2019;4;24948.38;3
Villa Crespo;2019;4;23993.39;3
Villa Urquiza;2019;4;27002.26;3
Almagro;2020;1;25366.05;3
Balvanera;2020;1;23586.12;3
Belgrano;2020;1;30054.67;3
Caballito;2020;1;25833.33;3
Flores;2020;1;22978.31;3
Núñez;2020;1;31653.72;3
Palermo;2020;1;30355.86;3
Recoleta;2020;1;30073.58;3
Retiro;2020;1;;3
Villa Crespo;2020;1;25439.13;3
Villa Urquiza;2020;1;30918.95;3
Almagro;2020;2;24870.86;3
Balvanera;2020;2;26276.67;3
Belgrano;2020;2;32726.01;3
Caballito;2020;2;29231.89;3
Flores;2020;2;24451.58;3
Núñez;2020;2;32349.1;3
Palermo;2020;2;34831.45;3
Recoleta;2020;2;32506.82;3
Retiro;2020;2;31878.74;3
Villa Crespo;2020;2;28069.12;3
Villa Urquiza;2020;2;30140.23;3
Almagro;2020;3;35056.83;3
Balvanera;2020;3;30039.5;3
Belgrano;2020;3;35323.29;3
Caballito;2020;3;34617.36;3
Flores;2020;3;31135.92;3
Núñez;2020;3;38583.43;3
Palermo;2020;3;40616.83;3
Recoleta;2020;3;35155.8;3
Retiro;2020;3;35736.71;3
Villa Crespo;2020;3;;3
Villa Urquiza;2020;3;39857.24;3
Almagro;2020;4;40500;3
Balvanera;2020;4;35223.88;3
Belgrano;2020;4;47489.04;3
Caballito;2020;4;42412.56;3
Flores;2020;4;33365.96;3
Núñez;2020;4;;3
Palermo;2020;4;45504.38;3
Recoleta;2020;4;41432.72;3
Retiro;2020;4;41136.88;3
Villa Crespo;2020;4;39115.5;3
Villa Urquiza;2020;4;45745.7;3
Almagro;2021;1;44429.13;3
Balvanera;2021;1;38782.36;3
Belgrano;2021;1;52163.36;3
Caballito;2021;1;45340.26;3
Flores;2021;1;;3
Núñez;2021;1;;3
Palermo;2021;1;49482.8;3
Recoleta;2021;1;46494.19;3
Retiro;2021;1;41189.02;3
Villa Crespo;2021;1;43519.22;3
Villa Urquiza;2021;1;50278.8;3
Almagro;2021;2;46932.29;3
Balvanera;2021;2;42256.53;3
Belgrano;2021;2;60401.18;3
Caballito;2021;2;51005.2;3
