Barrio;Año;Trimestre;Valor;Ambientes
Flores;2021;2;45186.16;3
Núñez;2021;2;;3
Palermo;2021;2;57449.1;3
Recoleta;2021;2;50865.45;3
Retiro;2021;2;53977.43;3
Villa Crespo;2021;2;;3
Villa Urquiza;2021;2;61481.99;3
Almagro;2021;3;57702.37;3
Balvanera;2021;3;47751.96;3
Belgrano;2021;3;62350.58;3
Caballito;2021;3;56510.55;3
Flores;2021;3;51478.93;3
Núñez;2021;3;66532.83;3
Palermo;2021;3;66246.38;3
Recoleta;2021;3;59600.8;3
Retiro;2021;3;60342.01;3
Villa Crespo;2021;3;53200;3
Villa Urquiza;2021;3;63605.55;3
Almagro;2021;4;61154.74;3
Balvanera;2021;4;54938.48;3
Belgrano;2021;4;68750.54;3
Caballito;2021;4;63331.48;3
Flores;2021;4;59150.38;3
Núñez;2021;4;76990.39;3
Palermo;2021;4;73446.05;3
Recoleta;2021;4;66503.38;3
Retiro;2021;4;57260.09;3
Villa Crespo;2021;4;;3
Villa Urquiza;2021;4;72174.28;3
Almagro;2022;1;69082.01;3
Balvanera;2022;1;65594.18;3
Belgrano;2022;1;77683.48;3
Caballito;2022;1;73608.73;3
Flores;2022;1;62550;3
Núñez;2022;1;;3
Palermo;2022;1;84830.51;3
Recoleta;2022;1;81104.87;3
Retiro;2022;1;;3
Villa Crespo;2022;1;69838.09;3
Villa Urquiza;2022;1;78993.26;3
Almagro;2022;2;83632.83;3
Balvanera;2022;2;74112.5;3
Belgrano;2022;2;95898.31;3
Caballito;2022;2;83533.2;3
Flores;2022;2;78412.73;3
Núñez;2022;2;;3
Palermo;2022;2;93665.72;3
Recoleta;2022;2;95512.22;3
Retiro;2022;2;;3
Villa Crespo;2022;2;;3
Villa Urquiza;2022;2;88174.2;3
Almagro;2022;3;98856.06;3
Balvanera;2022;3;90213.06;3
Belgrano;2022;3;104241.07;3
Caballito;2022;3;95998.97;3
Flores;2022;3;92620.2;3
Núñez;2022;3;;3
Palermo;2022;3;114384.04;3
Recoleta;2022;3;113245.24;3
Retiro;2022;3;;3
Villa Crespo;2022;3;97077.11;3
Villa Urquiza;2022;3;110289.63;3
Almagro;2022;4;114708.97;3
Balvanera;2022;4;105629.56;3
Belgrano;2022;4;136906.92;3
Caballito;2022;4;110610.47;3
Flores;2022;4;104290.78;3
Núñez;2022;4;147029.13;3
Palermo;2022;4;132786.31;3
Recoleta;2022;4;133089.29;3
Retiro;2022;4;;3
Villa Crespo;2022;4;;3
Villa Urquiza;2022;4;146347.15;3
Almagro;2023;1;150549.17;3
Balvanera;2023;1;140979.88;3
Belgrano;2023;1;164643.74;3
Caballito;2023;1;145406.31;3
Flores;2023;1;138571.82;3
Núñez;2023;1;;3
Palermo;2023;1;184754.52;3
Recoleta;2023;1;186459.47;3
Retiro;2023;1;;3
Villa Crespo;2023;1;156375.32;3
Villa Urquiza;2023;1;184797.82;3
Almagro;2023;2;208952.82;3
Balvanera;2023;2;;3
Belgrano;2023;2;267151.45;3
Caballito;2023;2;199140.64;3
Flores;2023;2;179211.23;3
Núñez;2023;2;;3
Palermo;2023;2;248743.56;3
Recoleta;2023;2;240129.45;3
Retiro;2023;2;;3
Villa Crespo;2023;2;201687.01;3
Villa Urquiza;2023;2;254545.45;3
Almagro;2023;3;302719.3;3
Balvanera;2023;3;273094.17;3
Belgrano;2023;3;;3
Caballito;2023;3;325392.67;3
Flores;2023;3;276916.8;3
Núñez;2023;3;;3
Palermo;2023;3;384026.43;3
Recoleta;2023;3;357033.1;3
Retiro;2023;3;;3
Villa Crespo;2023;3;;3
Villa Urquiza;2023;3;316946.96;3
Almagro;2023;4;490514.32;3
Balvanera;2023;4;400862.85;3
Belgrano;2023;4;650866;3
Caballito;2023;4;470586.59;3
Flores;2023;4;414687.88;3
Núñez;2023;4;628834.55;3
Palermo;2023;4;660095.44;3
Recoleta;2023;4;569634.62;3
Retiro;2023;4;;3
Villa Crespo;2023;4;478139.81;3
Villa Urquiza;2023;4;538172.04;3
Almagro;2024;1;562203.57;3
Balvanera;2024;1;486021.13;3
Belgrano;2024;1;624886.18;3
Caballito;2024;1;562679.3;3
Flores;2024;1;489979.65;3
Núñez;2024;1;624766.36;3
Palermo;2024;1;649991.89;3
Recoleta;2024;1;604832.59;3
Retiro;2024;1;577886.98;3
Villa Crespo;2024;1;567091.21;3
Villa Urquiza;2024;1;638025.89;3
Almagro;2024;2;613526.91;3
Balvanera;2024;2;498285.16;3
Belgrano;2024;2;652549.14;3
Caballito;2024;2;584784.84;3
Flores;2024;2;531584.16;3
Núñez;2024;2;666313.15;3
Palermo;2024;2;682629.76;3
Recoleta;2024;2;643135.85;3
Retiro;2024;2;584779.3;3
Villa Crespo;2024;2;621359.35;3
Villa Urquiza;2024;2;636769.9;3
Almagro;2024;3;675882.01;3
Balvanera;2024;3;593087.86;3
Belgrano;2024;3;738342.57;3
Caballito;2024;3;656552.38;3
Flores;2024;3;637140.29;3
Núñez;2024;3;801257.86;3
Palermo;2024;3;756774.59;3
Recoleta;2024;3;714517.91;3
Retiro;2024;3;655428.31;3
Villa Crespo;2024;3;686044.66;3
Villa Urquiza;2024;3;786716.01;3
Almagro;2024;4;740070.96;3
Balvanera;2024;4;660663.31;3
Belgrano;2024;4;844293.04;3
Caballito;2024;4;785546.59;3
Flores;2024;4;712915.52;3
Núñez;2024;4;839063.05;3
Palermo;2024;4;830171.54;3
Recoleta;2024;4;745973.51;3
Retiro;2024;4;716561.33;3
Villa Crespo;2024;4;784142.48;3
Villa Urquiza;2024;4;854954.95;3
Almagro;2025;1;824460.15;3
Balvanera;2025;1;752596.13;3
Belgrano;2025;1;864496.18;3
Caballito;2025;1;831061.78;3
Flores;2025;1;764293.22;3
Núñez;2025;1;908297.23;3
Palermo;2025;1;888751.06;3
Recoleta;2025;1;833383.81;3
Retiro;2025;1;779962.68;3
Villa Crespo;2025;1;859313.57;3
Villa Urquiza;2025;1;890851.2;3
Almagro;2025;2;885441.83;3
Balvanera;2025;2;793731.3;3
Belgrano;2025;2;934841.69;3
Caballito;2025;2;882188.04;3
Flores;2025;2;834262.36;3
Núñez;2025;2;951268.44;3
Palermo;2025;2;943180.52;3
Recoleta;2025;2;874808.51;3
Retiro;2025;2;792945.38;3
Villa Crespo;2025;2;849756.56;3
Villa Urquiza;2025;2;1035510.48;3
Almagro;2025;3;918840.75;3
Balvanera;2025;3;803411.69;3
Belgrano;2025;3;1014036.99;3
Caballito;2025;3;979763.81;3
Flores;2025;3;879816.68;3
Núñez;2025;3;1127911.93;3
Palermo;2025;3;1046855.9;3
Recoleta;2025;3;931853.71;3
Retiro;2025;3;854611.01;3
Villa Crespo;2025;3;887598.9;3
Villa Urquiza;2025;3;1016528.11;3
